indicator_code,indicator_name,indicator_family,approved_or_test,applicable_LRR,applicable_MLRA,soil_texture_scope,measurement_datum,maximum_start_depth_cm,minimum_thickness_cm,matrix_hue_requirement,matrix_value_requirement,matrix_chroma_requirement,matrix_percentage_requirement,redox_type_requirement,redox_percentage_requirement,organic_material_requirement,taxonomy_requirement,landscape_requirement,other_requirement,required_input_fields,notes,source_page,raw_rule_text,source
A11,Depleted Below Dark Surface,A,APPROVED,"all LRRs except for W, X, and Y; for testing in LRRs W, X, and Y",See applicable_LRR text for exceptions/restrictions,all soils,soil surface,30,15,,,,>=60% depleted/gleyed matrix with chroma <=2,,,,,,,continuous layers; moist color; explicit depleted/gleyed matrix; texture; masked sand percentage when sandy,Primary executable implementation,15,"A11.—Depleted Below Dark Surface. For use in all LRRs except for W, X, and Y; for testing in LRRs W, X, and Y. A layer with a depleted or gleyed matrix that has 60 percent or more chroma of 2 or less, starting at a depth of 30 cm (12 inches) or less from the soil surface and having a minimum thickness of either 1. 15 cm (6 inches), or 2. 5 cm (2 inches) if the 5 cm consists of fragmental soil material. Organic, loamy, or clayey layer(s) above the depleted or gleyed matrix must have value of 3 or less and chroma of 2 or less starting at a depth of less than 15 cm (6 inches) from the soil surface and extend to the depleted or gleyed matrix. Any loamy fine sand and coarser material above the depleted matrix must have value of 3 or less and chroma of 1 or less starting at a depth of 15 cm (6 inches) or less from the soil surface and extend to the depleted or gleyed matrix. When viewed through a 10x or 15x hand lens, at least 70 percent of the visible sand particles must be masked with organic material.","USDA NRCS/NTCHS, Field Indicators of Hydric Soils in the United States, Version 9.3 (2026), with February 2026 errata"
A12,Thick Dark Surface,A,APPROVED,all LRRs,See applicable_LRR text for exceptions/restrictions,all soils,soil surface,depleted/gleyed starts >30,15,,,,>=60% depleted/gleyed matrix,,,,,,,continuous dark surface layers through >=30 cm; moist color; explicit depleted/gleyed matrix; masked sand percentage when sandy,Primary executable implementation,17,"A12.—Thick Dark Surface. For use in all LRRs. A layer 15 cm (6 inches) or more thick with a depleted or gleyed matrix that has 60 percent or more chroma of 2 or less starting at a depth of more than 30 cm (12 inches) from the soil surface. The layer(s) above the depleted or gleyed matrix and starting at a depth of less than 15 cm (6 inches) from the soil surface must have value of 2.5 or less and chroma of 1 or less to a depth of 30 cm (12 inches) or more and a value of 3 or less and chroma of 1 or less in any remaining layers above the depleted or gleyed matrix. In any loamy fine sand and coarser material above the depleted or gleyed matrix, at least 70 percent of the particles must be masked with organic material when viewed through a 10x or 15x hand lens.","USDA NRCS/NTCHS, Field Indicators of Hydric Soils in the United States, Version 9.3 (2026), with February 2026 errata"
A13,Alaska Gleyed,A,APPROVED,"LRRs W, X, and Y",See applicable_LRR text for exceptions/restrictions,,,,,,,,,,,,,,,,Approved rule transcribed; not executable in this first high-confidence implementation,17,"A13.—Alaska Gleyed. For use in LRRs W, X, and Y. A mineral layer with more than 50 percent gleyed matrix. The layer starts at a depth of 30 cm (12 inches) or less from the mineral surface Figure 17.—Indicator A12, Thick Dark Surface. Observations deeper in the profile are needed to determine whether a soil meets the requirements of this indicator. In this soil, depth to the depleted matrix is about 55 cm. and is underlain at a depth 1.5 m (60 inches) or less from the soil surface by soil material with hue of 5Y or redder in the same type of parent material.","USDA NRCS/NTCHS, Field Indicators of Hydric Soils in the United States, Version 9.3 (2026), with February 2026 errata"
A14,Alaska Redox,A,APPROVED,"LRRs W, X, and Y",See applicable_LRR text for exceptions/restrictions,,,,,,,,,,,,,,,,Approved rule transcribed; not executable in this first high-confidence implementation,18,"A14.—Alaska Redox. For use in LRRs W, X, and Y. A mineral layer that has dominant hue of Figure 19.—Indicator A14, Alaska Redox. The matrix color meets the requirements of a gleyed matrix. Reddish orange redox concentrations occur along the pores and channels of living roots. 5Y with chroma of 3 or less or a gleyed matrix of 10 percent or more distinct or prominent redox concentrations occurring as pore linings with value and chroma of 4 or more. The layer occurs at a depth of 30 cm (12 inches) or less from the soil surface.","USDA NRCS/NTCHS, Field Indicators of Hydric Soils in the United States, Version 9.3 (2026), with February 2026 errata"
A15,Alaska Gleyed Pores,A,APPROVED,"LRRs W, X, and Y",See applicable_LRR text for exceptions/restrictions,,,,,,,,,,,,,,,,Approved rule transcribed; not executable in this first high-confidence implementation,19,"A15.—Alaska Gleyed Pores. For use in LRRs W, X, and Y. A mineral layer of 10 percent or more gleyed matrix colors along root channels or other pores and that starts at a depth of 30 cm (12 inches) or less from the soil surface. The matrix has a dominant hue of 5Y or redder.","USDA NRCS/NTCHS, Field Indicators of Hydric Soils in the United States, Version 9.3 (2026), with February 2026 errata"
A16,Coast Prairie Redox,A,APPROVED,MLRA 150A of LRR T; for testing in LRR S (except for MLRA 149B),See applicable_LRR text for exceptions/restrictions,,,,,,,,,,,,,,,,Approved rule transcribed; not executable in this first high-confidence implementation,19,A16.—Coast Prairie Redox. For use in MLRA 150A of LRR T; for testing in LRR S (except for MLRA 149B). A layer starting at a depth of 15 cm (6 inches) or less from the soil surface that is 10 cm (4 inches) or more thick and has a matrix chroma of 3 or less with 2 percent or more distinct or prominent redox concentrations occurring as soft masses and/or pore linings.,"USDA NRCS/NTCHS, Field Indicators of Hydric Soils in the United States, Version 9.3 (2026), with February 2026 errata"
A17,Mesic Spodic,A,APPROVED,MLRA 144A and 145 of LRR R and in MLRA 149B of LRR S,See applicable_LRR text for exceptions/restrictions,,,,,,,,,,,,,,,,Approved rule transcribed; not executable in this first high-confidence implementation,19,"A17.—Mesic Spodic. For use in MLRA 144A and 145 of LRR R and in MLRA 149B of LRR S. A layer that is 5 cm (2 inches) or more thick, that starts at a depth of 15 cm (6 inches) or less from the mineral soil surface, that has value of 3 or less and chroma of 2 or less, and that is directly underlain by either 1. one or more layers of spodic materials that have a combined thickness of 8 cm (3 inches) or more, that start at a depth of 30 cm (12 inches) or less from the mineral soil surface, and that have a value and chroma 3 or less; or 2. one or more layers that have a combined thickness of 5 cm (2 inches) or more, that start at a depth of 30 cm (12 inches) or less from the mineral soil surface, that have a value of 4 or more and chroma of 2 or less, and that are directly underlain by one or more layers that have a combined thickness of 8 cm (3 inches) or more, that are spodic materials, and that have a value and chroma of 3 or less. 20 Field Indicators of Hydric Soils","USDA NRCS/NTCHS, Field Indicators of Hydric Soils in the United States, Version 9.3 (2026), with February 2026 errata"
A18,Iron Monosulfide,A,APPROVED,"all LRRs. Positive identification of dark-gray or black iron monosulfide concentrations with value of 4 or less and chroma of 2 or less, starting at a depth of 25 cm (10 inches) or less from the soil surface.",See applicable_LRR text for exceptions/restrictions,,,,,,,,,,,,,,,,Approved rule transcribed; not executable in this first high-confidence implementation,20,"A18.—Iron Monosulfide. For use in all LRRs. Positive identification of dark-gray or black iron monosulfide concentrations with value of 4 or less and chroma of 2 or less, starting at a depth of 25 cm (10 inches) or less from the soil surface.","USDA NRCS/NTCHS, Field Indicators of Hydric Soils in the United States, Version 9.3 (2026), with February 2026 errata"
S1,Sandy Mucky Mineral,S,APPROVED,"all LRRs except T, U, W, X, Y, and Z and all but MLRA 136 of P",See applicable_LRR text for exceptions/restrictions,,,,,,,,,,,,,,,,Approved rule transcribed; not executable in this first high-confidence implementation,20,"S1.—Sandy Mucky Mineral. For use in all LRRs except T, U, W, X, Y, and Z and all but MLRA 136 of P. A layer of mucky modified sandy soil material 5 cm (2 inches) or more thick starting at a depth of 15 cm (6 inches) or less from the soil surface.","USDA NRCS/NTCHS, Field Indicators of Hydric Soils in the United States, Version 9.3 (2026), with February 2026 errata"
S2,2.5 cm Mucky Peat or Peat,S,APPROVED,LRRs G and H,See applicable_LRR text for exceptions/restrictions,,,,,,,,,,,,,,,,Approved rule transcribed; not executable in this first high-confidence implementation,21,"S2.—2.5 cm Mucky Peat or Peat. For use in LRRs G and H. A layer of mucky peat or peat 2.5 cm (1 inch) or more thick with value of 4 or less and chroma of 3 or less, starting at a depth of 15 cm (6 inches) or less from the soil surface, and underlain by sandy soil material.","USDA NRCS/NTCHS, Field Indicators of Hydric Soils in the United States, Version 9.3 (2026), with February 2026 errata"
S3,5 cm Mucky Peat or Peat,S,APPROVED,"LRRs F and M; for testing in LRRs K, L, and R",See applicable_LRR text for exceptions/restrictions,,,,,,,,,,,,,,,,Approved rule transcribed; not executable in this first high-confidence implementation,21,"S3.—5 cm Mucky Peat or Peat. For use in LRRs F and M; for testing in LRRs K, L, and R. A layer of mucky peat or peat 5 cm (2 inches) or more thick with value of 3 or less and chroma of 2 or less, starting at a depth of 15 cm (6 inches) or less from the soil surface, and underlain by sandy soil material.","USDA NRCS/NTCHS, Field Indicators of Hydric Soils in the United States, Version 9.3 (2026), with February 2026 errata"
S4,Sandy Gleyed Matrix,S,APPROVED,"all LRRs, except for W, X, and Y",See applicable_LRR text for exceptions/restrictions,sandy soil material,soil surface,15,0,"gley page hues N, 10Y, 5GY, 10GY, 5G, 10G, 5BG, 10BG, 5B, 10B, or 5PB",>=4,,>=60% gleyed matrix,,,,,,,sandy texture; explicit moist gley hue/value; matrix percentage; start depth,Primary executable implementation,21,"S4.—Sandy Gleyed Matrix. For use in all LRRs, except for W, X, and Y. A gleyed matrix that occupies 60 percent or more of a layer starting at a depth of 15 cm (6 inches) or less from the soil surface.","USDA NRCS/NTCHS, Field Indicators of Hydric Soils in the United States, Version 9.3 (2026), with February 2026 errata"
S5,Sandy Redox,S,APPROVED,"all LRRs, except for Q, V, W, X, and Y",See applicable_LRR text for exceptions/restrictions,sandy soil material,soil surface,15,10,,,<=2,>=60%,distinct/prominent soft masses and/or pore linings,>=2%,,,,,sandy texture; continuous depth; moist chroma; matrix percentage; redox percentage/type/contrast,Primary executable implementation,21,"S5.—Sandy Redox. For use in all LRRs, except for Q, V, W, X, and Y. A layer starting at a depth of 22 Field Indicators of Hydric Soils 15 cm (6 inches) or less from the soil surface that is 10 cm (4 inches) or more thick and has a matrix with 60 percent or more chroma of 2 or less and 2 or more percent distinct or prominent redox concentrations occurring as soft masses and/or pore linings.","USDA NRCS/NTCHS, Field Indicators of Hydric Soils in the United States, Version 9.3 (2026), with February 2026 errata"
S6,Stripped Matrix,S,APPROVED,"all LRRs, except for V, W, X, and Y",See applicable_LRR text for exceptions/restrictions,,,,,,,,,,,,,,,,Approved rule transcribed; not executable in this first high-confidence implementation,22,"S6.—Stripped Matrix. For use in all LRRs, except for V, W, X, and Y. A layer starting at a depth of 15 cm (6 inches) or less from the soil surface in which iron-manganese oxides and/ or organic matter have been stripped from the matrix and the primary base color of the soil material has been exposed. The stripped areas and translocated oxides and/or organic matter form a faintly contrasting pattern of two or more colors with diffuse boundaries. The stripped zones are 10 percent or more of the volume and are rounded.","USDA NRCS/NTCHS, Field Indicators of Hydric Soils in the United States, Version 9.3 (2026), with February 2026 errata"
S7,Dark Surface,S,APPROVED,"LRRs K, L, M, N, P, Q, R, S, T, U, V, and Z",See applicable_LRR text for exceptions/restrictions,,,,,,,,,,,,,,,,Approved rule transcribed; not executable in this first high-confidence implementation,23,"S7.—Dark Surface. For use in LRRs K, L, M, N, P, Q, R, S, T, U, V, and Z. A layer 10 cm (4 inches) or more thick, starting at a depth of 15 cm (6 inches) or less from the soil surface, with a matrix value of 3 or less and chroma of 1 or less. At least 70 percent of the visible soil particles must be masked with organic material when viewed through a 10x or 15x hand lens. The matrix color of the layer directly below the dark layer must have the same colors as described above or any color with a chroma of 2 or less.","USDA NRCS/NTCHS, Field Indicators of Hydric Soils in the United States, Version 9.3 (2026), with February 2026 errata"
S8,Polyvalue Below Surface,S,APPROVED,"LRRs R, S, T, and U; for testing in LRRs K and L",See applicable_LRR text for exceptions/restrictions,,,,,,,,,,,,,,,,Approved rule transcribed; not executable in this first high-confidence implementation,23,"S8.—Polyvalue Below Surface. For use in LRRs R, S, T, and U; for testing in LRRs K and L. A layer with a value of 3 or less and chroma of 1 or less starting at a depth of 15 cm (6 inches) or less from the soil surface. At least 70 percent of the visible soil particles must be masked with organic material when viewed through a 10x or 15x hand lens. Directly below this layer, 5 percent or more of the soil volume has a value of 3 or less and chroma of 1 or less, and the remainder of the 24 Field Indicators of Hydric Soils soil volume has value of 4 or more and chroma of 1 or less to a depth of 30 cm (12 inches) or to the spodic horizon.","USDA NRCS/NTCHS, Field Indicators of Hydric Soils in the United States, Version 9.3 (2026), with February 2026 errata"
S9,Thin Dark Surface,S,APPROVED,"LRRs R, S, T, and U; for testing in LRRs K and L",See applicable_LRR text for exceptions/restrictions,,,,,,,,,,,,,,,,Approved rule transcribed; not executable in this first high-confidence implementation,24,"S9.—Thin Dark Surface. For use in LRRs R, S, T, and U; for testing in LRRs K and L. A layer 5 cm (2 inches) or more thick, starting at a depth of 15 cm (6 inches) or less from the soil surface, with value of 3 or less and chroma of 1 or less. At least 70 percent of the visible soil particles must be masked with organic material when viewed through a 10x or 15x hand lens. This layer is underlain by a layer or layers with value of 4 or less and chroma of 1 or less to a depth of 30 cm or a spodic horizon.","USDA NRCS/NTCHS, Field Indicators of Hydric Soils in the United States, Version 9.3 (2026), with February 2026 errata"
S11,High Chroma Sands,S,APPROVED,See raw rule and Appendix 1,See applicable_LRR text for exceptions/restrictions,,,,,,,,,,,,,,,,Approved rule transcribed; not executable in this first high-confidence implementation,24,"S11.—High Chroma Sands. For use along shorelines and near shore regions of the Great Lakes in LRRs K and L. In coastal zones and dune-and-swale complexes, a layer 5 cm (2 inches) or more thick starting at a depth of 10 cm (4 inches) or less from the soil surface with chroma of 4 or less and 2 percent or more distinct or prominent redox concentrations.","USDA NRCS/NTCHS, Field Indicators of Hydric Soils in the United States, Version 9.3 (2026), with February 2026 errata"
S12,Barrier Islands 1 cm Muck,S,APPROVED,MLRA 153B and 153D of LRR T,See applicable_LRR text for exceptions/restrictions,,,,,,,,,,,,,,,,Approved rule transcribed; not executable in this first high-confidence implementation,25,"S12.—Barrier Islands 1 cm Muck. For use in MLRA 153B and 153D of LRR T. In the swale portion of dune-and-swale complexes of barrier islands, a layer of muck 1 cm (0.5 inch) or more thick with value of 3 or less and chroma of 2 or less and starting at a depth of 15 cm (6 inches) or less from the soil surface.","USDA NRCS/NTCHS, Field Indicators of Hydric Soils in the United States, Version 9.3 (2026), with February 2026 errata"
F1,Loamy Mucky Mineral,F,APPROVED,"all LRRs, except for N, Q, R, S, V, W, X, and Y, those using A7 (LRRs P, T, U, and Z), and MLRA 1 of LRR A",See applicable_LRR text for exceptions/restrictions,,,,,,,,,,,,,,,,Approved rule transcribed; not executable in this first high-confidence implementation,25,"F1.—Loamy Mucky Mineral. For use in all LRRs, except for N, Q, R, S, V, W, X, and Y, those using A7 (LRRs P, T, U, and Z), and MLRA 1 of LRR A. A layer of mucky modified loamy or clayey soil material 10 cm (4 inches) or more thick starting at a depth of 15 cm (6 inches) or less from the soil surface.","USDA NRCS/NTCHS, Field Indicators of Hydric Soils in the United States, Version 9.3 (2026), with February 2026 errata"
F2,Loamy Gleyed Matrix,F,APPROVED,"all LRRs, except for W, X, and Y",See applicable_LRR text for exceptions/restrictions,loamy and clayey (loamy very fine sand and finer),soil surface,30,0,gley page hues,>=4,,>=60% gleyed matrix,,,,,,,loamy/clayey texture; explicit moist gley hue/value; matrix percentage; start depth,Primary executable implementation,25,"F2.—Loamy Gleyed Matrix. For use in all LRRs, except for W, X, and Y. A gleyed matrix that occupies 60 percent or more of a layer starting at a depth of 30 cm (12 inches) or less from the soil surface (fig. 29).","USDA NRCS/NTCHS, Field Indicators of Hydric Soils in the United States, Version 9.3 (2026), with February 2026 errata"
F3,Depleted Matrix,F,APPROVED,"all LRRs, except W, X, and Y; for testing in LRRs W, X, and Y",See applicable_LRR text for exceptions/restrictions,loamy and clayey,soil surface,10 (5-cm layer) OR 25 (15-cm layer),5 OR 15,,>=4,<=2,>=60% depleted matrix,"required for 4/1, 4/2, 5/2 and for A/E/calcic exclusions",>=2% distinct/prominent soft masses or pore linings where required,,,,,loamy/clayey texture; continuous depth; moist color; explicit wetness-derived depleted matrix; redox details where required,Primary executable implementation,26,"F3.—Depleted Matrix. For use in all LRRs, except W, X, and Y; for testing in LRRs W, X, and Y. A layer that has a depleted matrix with 60 percent or more chroma of 2 or less and that has a minimum thickness of either 1. 5 cm (2 inches), starting at a depth of 10 cm (4 inches) or less from the soil surface, or 2. 15 cm (6 inches), starting at a depth of 25 cm (10 inches) or less from the soil surface.","USDA NRCS/NTCHS, Field Indicators of Hydric Soils in the United States, Version 9.3 (2026), with February 2026 errata"
F6,Redox Dark Surface,F,APPROVED,"all LRRs, except W, X, and Y; for testing in LRRs W, X, and Y",See applicable_LRR text for exceptions/restrictions,loamy and clayey,mineral soil surface,20,10,,<=3,<=1 with >=2% redox OR <=2 with >=5% redox,,distinct/prominent soft masses or pore linings,">=2% or >=5%, conditional on chroma",,,,,mineral datum; loamy/clayey texture; continuous depth; moist value/chroma; redox percentage/type/contrast,Primary executable implementation,27,"F6.—Redox Dark Surface. For use in all LRRs, except W, X, and Y; for testing in LRRs W, X, and Y. A layer that is 10 cm (4 inches) or more thick, starting at a depth of 20 cm (8 inches) or less from the mineral soil surface, and has 1. matrix value of 3 or less and chroma of 1 or less and 2 percent or more distinct or prominent redox concentrations occurring as soft masses or pore linings, or 2. matrix value of 3 or less and chroma of 2 or less and 5 percent or more distinct or prominent redox concentrations occurring as soft masses or pore linings.","USDA NRCS/NTCHS, Field Indicators of Hydric Soils in the United States, Version 9.3 (2026), with February 2026 errata"
F7,Depleted Dark Surface,F,APPROVED,"all LRRs except W, X, and Y; for testing in LRRs W, X, and Y",See applicable_LRR text for exceptions/restrictions,loamy and clayey,mineral soil surface,20,10,,<=3,<=1 with >=10% depletion OR <=2 with >=20% depletion,,depletions value >=5 and chroma <=2,">=10% or >=20%, conditional on matrix chroma",,,,,mineral datum; loamy/clayey texture; continuous depth; moist matrix and depletion colors; depletion percentage,Primary executable implementation,28,"F7.—Depleted Dark Surface. For use in all LRRs except W, X, and Y; for testing in LRRs W, X, and Y. Redox depletions with value of 5 or more and chroma of 2 or less in a layer that is 10 cm (4 inches) or more thick, starting at a depth of 20 cm (8 inches) or less from the mineral soil surface, and has 1. matrix value of 3 or less and chroma of 1 or less and 10 percent or more redox depletions, or 2. matrix value of 3 or less and chroma of 2 or less and 20 percent or more redox depletions.","USDA NRCS/NTCHS, Field Indicators of Hydric Soils in the United States, Version 9.3 (2026), with February 2026 errata"
F8,Redox Depressions,F,APPROVED,"all LRRs except W, X, and Y; for testing in LRRs W, X, and Y",See applicable_LRR text for exceptions/restrictions,,,,,,,,,,,,,,,,Approved rule transcribed; not executable in this first high-confidence implementation,28,"F8.—Redox Depressions. For use in all LRRs except W, X, and Y; for testing in LRRs W, X, and Y. In closed depressions subject to ponding, 5 percent or more distinct or prominent redox concentrations occurring as soft masses or pore linings in a layer that is 5 cm (2 inches) or more thick and starts at 10 cm (4 inches) or less from the soil surface.","USDA NRCS/NTCHS, Field Indicators of Hydric Soils in the United States, Version 9.3 (2026), with February 2026 errata"
F10,Marl,F,APPROVED,"LRR K, L, and U",See applicable_LRR text for exceptions/restrictions,,,,,,,,,,,,,,,,Approved rule transcribed; not executable in this first high-confidence implementation,28,"F10.—Marl. For use in LRR K, L, and U. A layer of marl with value of 5 or more and chroma of 2 or less starting at a depth of 10 cm (4 inches) or less from the soil surface (fig. 36).","USDA NRCS/NTCHS, Field Indicators of Hydric Soils in the United States, Version 9.3 (2026), with February 2026 errata"
F11,Depleted Ochric,F,APPROVED,MLRA 151 of LRR T,See applicable_LRR text for exceptions/restrictions,,,,,,,,,,,,,,,,Approved rule transcribed; not executable in this first high-confidence implementation,28,F11.—Depleted Ochric. For use in MLRA 151 of LRR T. A layer 10 cm (4 inches) or more thick in which 60 percent or more of the matrix has value of 4 or more and chroma of 1 or less. The layer starts at a depth 15 cm (6 inches) or less from the soil surface.,"USDA NRCS/NTCHS, Field Indicators of Hydric Soils in the United States, Version 9.3 (2026), with February 2026 errata"
