indicator_code,indicator_name,implementation_feasibility,exact_reason,implemented_in_primary_analysis,required_input_fields,available_master_fields,proxies_forbidden
S9,Thin Dark Surface,NOT_EVALUABLE,Not implemented in this high-confidence first pass; required field observations and/or specialized landscape/taxonomic criteria need a separately validated implementation.,False,,NASIS horizon depths/designation/texture/moist color/redox raw+parsed; NASIS taxonomy; coordinates/LRR/MLRA,dry color; g suffix; chemistry/MIR; absent-as-zero; low chroma alone as depleted matrix
S11,High Chroma Sands,NOT_EVALUABLE,Not implemented in this high-confidence first pass; required field observations and/or specialized landscape/taxonomic criteria need a separately validated implementation.,False,,NASIS horizon depths/designation/texture/moist color/redox raw+parsed; NASIS taxonomy; coordinates/LRR/MLRA,dry color; g suffix; chemistry/MIR; absent-as-zero; low chroma alone as depleted matrix
S12,Barrier Islands 1 cm Muck,NOT_EVALUABLE,Not implemented in this high-confidence first pass; required field observations and/or specialized landscape/taxonomic criteria need a separately validated implementation.,False,,NASIS horizon depths/designation/texture/moist color/redox raw+parsed; NASIS taxonomy; coordinates/LRR/MLRA,dry color; g suffix; chemistry/MIR; absent-as-zero; low chroma alone as depleted matrix
F1,Loamy Mucky Mineral,NOT_EVALUABLE,Not implemented in this high-confidence first pass; required field observations and/or specialized landscape/taxonomic criteria need a separately validated implementation.,False,,NASIS horizon depths/designation/texture/moist color/redox raw+parsed; NASIS taxonomy; coordinates/LRR/MLRA,dry color; g suffix; chemistry/MIR; absent-as-zero; low chroma alone as depleted matrix
F2,Loamy Gleyed Matrix,PARTIALLY_EVALUABLE,Gley hue/value and texture can be tested when moist matrix and dominance are explicit.,True,loamy/clayey texture; explicit moist gley hue/value; matrix percentage; start depth,NASIS horizon depths/designation/texture/moist color/redox raw+parsed; NASIS taxonomy; coordinates/LRR/MLRA,dry color; g suffix; chemistry/MIR; absent-as-zero; low chroma alone as depleted matrix
F3,Depleted Matrix,PARTIALLY_EVALUABLE,Conservatively requires explicit wetness-derived depletion; low chroma alone is rejected.,True,loamy/clayey texture; continuous depth; moist color; explicit wetness-derived depleted matrix; redox details where required,NASIS horizon depths/designation/texture/moist color/redox raw+parsed; NASIS taxonomy; coordinates/LRR/MLRA,dry color; g suffix; chemistry/MIR; absent-as-zero; low chroma alone as depleted matrix
F6,Redox Dark Surface,PARTIALLY_EVALUABLE,Conditional quantitative color/redox rule is evaluable only where mineral datum and complete redox observations exist.,True,mineral datum; loamy/clayey texture; continuous depth; moist value/chroma; redox percentage/type/contrast,NASIS horizon depths/designation/texture/moist color/redox raw+parsed; NASIS taxonomy; coordinates/LRR/MLRA,dry color; g suffix; chemistry/MIR; absent-as-zero; low chroma alone as depleted matrix
F7,Depleted Dark Surface,PARTIALLY_EVALUABLE,"Depletion color, percentage, and continuous layer are rarely all rendered.",True,mineral datum; loamy/clayey texture; continuous depth; moist matrix and depletion colors; depletion percentage,NASIS horizon depths/designation/texture/moist color/redox raw+parsed; NASIS taxonomy; coordinates/LRR/MLRA,dry color; g suffix; chemistry/MIR; absent-as-zero; low chroma alone as depleted matrix
F8,Redox Depressions,NOT_EVALUABLE,Not implemented in this high-confidence first pass; required field observations and/or specialized landscape/taxonomic criteria need a separately validated implementation.,False,,NASIS horizon depths/designation/texture/moist color/redox raw+parsed; NASIS taxonomy; coordinates/LRR/MLRA,dry color; g suffix; chemistry/MIR; absent-as-zero; low chroma alone as depleted matrix
F10,Marl,NOT_EVALUABLE,Not implemented in this high-confidence first pass; required field observations and/or specialized landscape/taxonomic criteria need a separately validated implementation.,False,,NASIS horizon depths/designation/texture/moist color/redox raw+parsed; NASIS taxonomy; coordinates/LRR/MLRA,dry color; g suffix; chemistry/MIR; absent-as-zero; low chroma alone as depleted matrix
F11,Depleted Ochric,NOT_EVALUABLE,Not implemented in this high-confidence first pass; required field observations and/or specialized landscape/taxonomic criteria need a separately validated implementation.,False,,NASIS horizon depths/designation/texture/moist color/redox raw+parsed; NASIS taxonomy; coordinates/LRR/MLRA,dry color; g suffix; chemistry/MIR; absent-as-zero; low chroma alone as depleted matrix
F12,Iron-Manganese Masses,NOT_EVALUABLE,Not implemented in this high-confidence first pass; required field observations and/or specialized landscape/taxonomic criteria need a separately validated implementation.,False,,NASIS horizon depths/designation/texture/moist color/redox raw+parsed; NASIS taxonomy; coordinates/LRR/MLRA,dry color; g suffix; chemistry/MIR; absent-as-zero; low chroma alone as depleted matrix
F13,Umbric Surface,NOT_EVALUABLE,Not implemented in this high-confidence first pass; required field observations and/or specialized landscape/taxonomic criteria need a separately validated implementation.,False,,NASIS horizon depths/designation/texture/moist color/redox raw+parsed; NASIS taxonomy; coordinates/LRR/MLRA,dry color; g suffix; chemistry/MIR; absent-as-zero; low chroma alone as depleted matrix
F16,High Plains Depressions,NOT_EVALUABLE,Not implemented in this high-confidence first pass; required field observations and/or specialized landscape/taxonomic criteria need a separately validated implementation.,False,,NASIS horizon depths/designation/texture/moist color/redox raw+parsed; NASIS taxonomy; coordinates/LRR/MLRA,dry color; g suffix; chemistry/MIR; absent-as-zero; low chroma alone as depleted matrix
F17,Delta Ochric,NOT_EVALUABLE,Not implemented in this high-confidence first pass; required field observations and/or specialized landscape/taxonomic criteria need a separately validated implementation.,False,,NASIS horizon depths/designation/texture/moist color/redox raw+parsed; NASIS taxonomy; coordinates/LRR/MLRA,dry color; g suffix; chemistry/MIR; absent-as-zero; low chroma alone as depleted matrix
F18,Reduced Vertic,NOT_EVALUABLE,Not implemented in this high-confidence first pass; required field observations and/or specialized landscape/taxonomic criteria need a separately validated implementation.,False,,NASIS horizon depths/designation/texture/moist color/redox raw+parsed; NASIS taxonomy; coordinates/LRR/MLRA,dry color; g suffix; chemistry/MIR; absent-as-zero; low chroma alone as depleted matrix
F19,Piedmont Flood Plain Soils,NOT_EVALUABLE,Not implemented in this high-confidence first pass; required field observations and/or specialized landscape/taxonomic criteria need a separately validated implementation.,False,,NASIS horizon depths/designation/texture/moist color/redox raw+parsed; NASIS taxonomy; coordinates/LRR/MLRA,dry color; g suffix; chemistry/MIR; absent-as-zero; low chroma alone as depleted matrix
F20,Anomalous Bright Loamy Soils,NOT_EVALUABLE,Not implemented in this high-confidence first pass; required field observations and/or specialized landscape/taxonomic criteria need a separately validated implementation.,False,,NASIS horizon depths/designation/texture/moist color/redox raw+parsed; NASIS taxonomy; coordinates/LRR/MLRA,dry color; g suffix; chemistry/MIR; absent-as-zero; low chroma alone as depleted matrix
F21,Red Parent Material,NOT_EVALUABLE,Not implemented in this high-confidence first pass; required field observations and/or specialized landscape/taxonomic criteria need a separately validated implementation.,False,,NASIS horizon depths/designation/texture/moist color/redox raw+parsed; NASIS taxonomy; coordinates/LRR/MLRA,dry color; g suffix; chemistry/MIR; absent-as-zero; low chroma alone as depleted matrix
F22,Very Shallow Dark Surface,NOT_EVALUABLE,Not implemented in this high-confidence first pass; required field observations and/or specialized landscape/taxonomic criteria need a separately validated implementation.,False,,NASIS horizon depths/designation/texture/moist color/redox raw+parsed; NASIS taxonomy; coordinates/LRR/MLRA,dry color; g suffix; chemistry/MIR; absent-as-zero; low chroma alone as depleted matrix
